showid,showyear,showmonth,showdate,permalink,setlist_notes,venue,city,state,country,artist_name,tourid,tour_name,setlists
1251253100,1983,12,1983-12-02,https://phish.net/setlists/phish-december-02-1983-harris-millis-cafeteria-university-of-vermont-burlington-vt-usa.html,"Trey, Mike, Fish, and Jeff Holdsworth recall being billed as &ldquo;Blackwood Convention&rdquo; for this show (though no one is certain what band name was used), which is believed to be their first public gig together. The band was short on equipment, so a hockey stick was used as a microphone stand. Between sets, the DJ spun some Michael Jackson and Trey drummed along to the album. The house music (which included more Michael Jackson) was presumably turned up after Fire to drown out the band. The setlist may be incomplete, though, as the master recording contains nothing after Trey&rsquo;s sarcastic comments about Michael Jackson following Fire. All songs were, of course, Phish debuts. Back in Black was teased before Scarlet Begonias. While this show is often billed as an ROTC Halloween Dance that took place on October 30, 1983, this is incorrect. The master copy of the recording of this show, as unearthed by Phish archivist Kevin Shapiro, contains a handwritten note that pegs the date as December 2, 1983. In discussions with Kevin, band members confirmed that they recall rehearsing for this show over the Thanksgiving Break, and that the show was a Christmas semi-formal. Also, it was not an ROTC-sponsored event; it was a dorm dance in a predominantly ROTC dorm (Mike&rsquo;s dorm at the time).",Harris-Millis Cafeteria - University of Vermont,Burlington,VT,USA,Phish,1,1983 Tour,"['Long Cool Woman in a Black Dress', 'Proud Mary', 'In the Midnight Hour', 'Squeeze Box', 'Roadhouse Blues', 'Happy Birthday to You', 'Scarlet Begonias', 'Fire on the Mountain']"
1250613219,1984,10,1984-10-23,https://phish.net/setlists/phish-october-23-1984-69-grant-street-burlington-vt-usa.html,"This show, played in the garage of a house on Grant Street, is believed to be the band&rsquo;s first show after Trey&rsquo;s return to the University of Vermont and the first show where the band was billed as Phish. It is known that Makisupa (first known performance) was played but the rest of the setlist is unknown. The date is believed to be correct but may have been a few days earlier or later.",69 Grant Street,Burlington,VT,USA,Phish,2,1984 Tour,['Makisupa Policeman']
1251262142,1984,11,1984-11-03,https://phish.net/setlists/phish-november-03-1984-slade-hall-university-of-vermont-burlington-vt-usa.html,"The setlist for this show might be incomplete, as the recordings that circulate cut during Drums. Marc Daubert made a guest appearance on percussion. This show featured the first known performance of Camel Walk and the first known Phish performances of Wild Child, Bertha, Can&#39;t You Hear Me Knocking, Eyes of the World, and Whipping Post (which featured Jeff on vocals). CYHMK included a St. Stephen tease. Copies of this performance often circulate with the incorrect date of November 3, 1983. Also, it is possible that this show was actually on Friday, November 2, 1984, as a photo of a flyer for a show on &ldquo;11/2&rdquo; was printed in <em>The Phish Book</em>.","Slade Hall, University of Vermont",Burlington,VT,USA,Phish,2,1984 Tour,"['In the Midnight Hour', 'Wild Child', 'Jam', 'Bertha', ""Can't You Hear Me Knocking"", 'St. Stephen', ""Can't You Hear Me Knocking"", 'Camel Walk', 'Eyes of the World', 'Whipping Post', 'Drums']"
1251262498,1984,12,1984-12-01,https://phish.net/setlists/phish-december-01-1984-nectars-burlington-vt-usa.html,"Skippy and Fluffhead featured The Dude of Life on vocals. The jam after Camel Walk may have been Back Porch Boogie Blues. Spanish Flea included an introduction of the band members. Don&rsquo;t Want You No More was not performed in its entirety, as it lacked the final lyrics. The lengthy percussion jam featured a guest appearance from Marc Daubert. Mike recalls that there were approximately 200 people in the audience. This gig featured the first known version of Slave to the Traffic Light and Fluffhead, the first known Phish versions of Fire, Don&#39;t Want You No More, Cities, and Skippy the Wondermouse, and the only known Phish version of Spanish Flea. This performance was on the upstairs level of Nectar&#39;s.",Nectar's,Burlington,VT,USA,Phish,2,1984 Tour,"['Jam', 'Wild Child', 'Bertha', ""Can't You Hear Me Knocking"", 'Camel Walk', 'Jam', 'In the Midnight Hour', 'Scarlet Begonias', 'Fire', 'Fire on the Mountain', 'Makisupa Policeman', 'Slave to the Traffic Light', 'Spanish Flea', ""Don't Want You No More"", 'Cities', 'Drums', 'Skippy the Wondermouse', 'Fluffhead', 'Eyes of the World']"
1251587227,1985,2,1985-02-01,https://phish.net/setlists/phish-february-01-1985-doolins-burlington-vt-usa.html,"It is unconfirmed if this setlist is correct for this date, as it is identical to the first set of 2/3/86. If the setlist is correct, this show marked the first known performances of Mike's Song, Dave's Energy Guide, You Enjoy Myself, Alumni Blues, Letter to Jimmy Page, Prep School Hippie, and Run Like an Antelope.",Doolin's,Burlington,VT,USA,Phish,3,1985 Tour,"['Slave to the Traffic Light', ""Mike's Song"", ""Dave's Energy Guide"", 'You Enjoy Myself', 'Alumni Blues', 'Letter to Jimmy Page', 'Alumni Blues', 'Prep School Hippie', 'Run Like an Antelope']"
1249948445,1985,3,1985-03-04,https://phish.net/setlists/phish-march-04-1985-hunts-burlington-vt-usa.html,"This show was an African Relief benefit for OXFAM.&nbsp;Fire Up the Ganja (which is the song Fire on the Mountain with different lyrics) featured Bobby Hackney and Jah Roy&nbsp;of the band Lambsbread on vocals. This setlist is incomplete and featured the first known version of Anarchy and first known Phish version of Fire Up the Ganja. This is the first known version of Skippy to have McGrupp lyrics. (This song was called Skippy by the band at this time, even though it eventually became McGrupp.)",Hunt's,Burlington,VT,USA,Phish,3,1985 Tour,"['Anarchy', 'Camel Walk', 'Fire Up the Ganja', 'Skippy the Wondermouse', 'In the Midnight Hour']"
1251587664,1985,3,1985-03-08,https://phish.net/setlists/phish-march-08-1985-doolins-burlington-vt-usa.html,This show featured the first known performance of Sneakin' Sally through the Alley.,Doolin's,Burlington,VT,USA,Phish,3,1985 Tour,"[""Sneakin' Sally Through the Alley""]"
1251587687,1985,3,1985-03-16,https://phish.net/setlists/phish-march-16-1985-doolins-burlington-vt-usa.html,"During the jam, cartoons were shown behind the band on six television screens. The cartoons got faster and faster while the band did the same. If the 2/1/85 setlist is not correct for that date, then this show featured the first known performances of Alumni Blues and Mike's Song.",Doolin's,Burlington,VT,USA,Phish,3,1985 Tour,"['Alumni Blues', 'Skippy the Wondermouse', 'Bertha', 'Jam', ""Mike's Song""]"
1251588374,1985,4,1985-04-06,https://phish.net/setlists/phish-april-06-1985-finbars-burlington-vt-usa.html,"This show was a benefit for Tools for Peace and Justice in Central America and featured the first known performances of Hydrogen, Revolution, and McGrupp and the first known Phish performances of Big Leg Emma and Quinn the Eskimo. The jam after Slave may have been Back Porch Boogie Blues. The end of Mike's Song contained a vocal section with lyrics to the effect of ""Life is not what it seems.""&nbsp;Revolution was dedicated to Anne Labrusciano and Trey explained it used to be entitled ""Leunig&rsquo;s Sucks"" but now it&rsquo;s entitled &ldquo;Revolution&rdquo;. Run Like An Antelope was introduced by Trey as &ldquo;Run Like an Antelope Out of Control&rdquo;. McGrupp And The Watchful Hosemasters was narrated rather than sung.&nbsp;If the 2/1/85 setlist is not correct for that date, then this show featured the first known performances of Letter to Jimmy Page, Dave's Energy Guide, and Run Like an Antelope.",Finbar's,Burlington,VT,USA,Phish,3,1985 Tour,"['I Am Hydrogen', ""Don't Want You No More"", 'Cities', 'Wild Child', 'Slave to the Traffic Light', 'Jam', 'Alumni Blues', 'Letter to Jimmy Page', 'Alumni Blues', ""Mike's Song"", ""Dave's Energy Guide"", 'Big Leg Emma', 'Revolution', 'Anarchy', 'I Wish', 'Camel Walk', 'Run Like an Antelope', 'McGrupp and the Watchful Hosemasters', 'Makisupa Policeman', 'Quinn the Eskimo']"
1251596261,1985,5,1985-05-03,https://phish.net/setlists/phish-may-03-1985-university-of-vermont-burlington-vt-usa.html,"This show was performed at the Last Day Party on UVM&rsquo;s Redstone campus. It marked Page&rsquo;s debut with the band, as he sat in during portions of the third set. In fact, Big Leg Emma was preceded by an announcement from Trey that &ldquo;our friend Page, from Goddard, will sit in later.&rdquo; Bring it On Home featured Bobby Brown on harmonica and Whipping Post featured Jeff on vocals. McGrupp was dedicated to Fish. Makisupa featured a reggae jam. This show featured the only known Phish performances of Bring It On Home and The Other One.",University of Vermont,Burlington,VT,USA,Phish,3,1985 Tour,"['Slave to the Traffic Light', ""Mike's Song"", ""Dave's Energy Guide"", 'Big Leg Emma', 'Alumni Blues', 'Wild Child', ""Can't You Hear Me Knocking"", 'Jam', 'Cities', 'Bring It On Home', 'Scarlet Begonias', 'Eyes of the World', 'Whipping Post', 'McGrupp and the Watchful Hosemasters', 'Makisupa Policeman', 'Run Like an Antelope', 'The Other One', 'Anarchy']"
